Unnamed: 0;QE;QF;QM;Qm;QS;EF;EM;Em;ES;FM;Fm;FS;Mm;MS;mS;Q;E;F;M;S;m
CC3-9;0.0005652911249293386;0.0007668711656441718;0.00078064012490242;0.0009157509157509158;0.0006027727546714888;0.0005347593582887701;0.0004930966469428008;0.0007267441860465116;0.0006514657980456026;0.004830917874396135;0.002;0.0015698587127158557;0.0015151515151515152;0.00117096018735363;0.0017064846416382253;0.36313260858983354;0.2971357114253024;0.9702407111044933;0.87907663487465;0.5701542094424803;0.6864131258587168
CC3-10;0.000419639110365086;0.0005711022272986865;0.0006056935190793458;0.0006009615384615385;0.00048192771084337347;0.0009090909090909091;0.0008230452674897119;0.0011061946902654867;0.0012033694344163659;0.007936507936507936;0.002325581395348837;0.0022727272727272726;0.002325581395348837;0.002288329519450801;0.002304147465437788;0.267932410604803;0.446133941162756;1.4015009740973643;1.3979157637876631;0.8550501402875601;0.8662466484862488
CC3-11;0.00047192071731949034;0.000691085003455425;0.0006983240223463687;0.0007027406886858749;0.0006365372374283895;0.0005149330587023687;0.00046882325363338024;0.0005803830528148578;0.0005714285714285715;0.004608294930875576;0.004672897196261682;0.0037735849056603774;0.002398081534772182;0.0021008403361344537;0.00641025641025641;0.3200607669235549;0.26074886538986686;1.426079509495543;1.0274364077761962;1.3492647460908203;1.4764358882791007
CC3-4;0.0006056935190793458;0.0007942811755361397;0.0008340283569641367;0.0009372071227741331;0.0006784260515603799;0.0006422607578676942;0.0005952380952380953;0.0006944444444444445;0.000757002271006813;0.006711409395973154;0.0048543689320388345;0.0025575447570332483;0.00398406374501992;0.0018552875695732839;0.0022727272727272726;0.38496362259141353;0.3294639087636393;1.555986501844907;1.398002716276859;0.8120987921900998;1.2742811517004606
CC3-5;0.0005875440658049354;0.0008216926869350862;0.0008741258741258741;0.0008756567425569177;0.0006127450980392157;0.0006480881399870382;0.0006056935190793458;0.0007911392405063291;0.000722543352601156;0.007194244604316547;0.003215434083601286;0.001893939393939394;0.0025;0.0015220700152207;0.00202020202020202;0.37717644674620293;0.3355008317978805;1.377339890877935;1.2696134012742468;0.6771499880002486;0.9402432086866555
CC3-12;0.0006402048655569782;0.0007722007722007722;0.0007369196757553427;0.0008417508417508417;0.0006157635467980296;0.0005878894767783657;0.0005583472920156337;0.0006443298969072165;0.0006341154090044388;0.010101010101010102;0.0055248618784530384;0.0022522522522522522;0.0035714285714285713;0.002074688796680498;0.0022222222222222222;0.36068397020619647;0.3064886940262633;1.9238214480694533;1.7042394436890147;0.7799042226957441;1.280459341076189
CC3- 13;0.0005903187721369539;0.0006666666666666666;0.0005878894767783657;0.0007674597083653108;0.0005341880341880342;0.00044169611307420494;0.0004086636697997548;0.0004918839153959665;0.0004909180166912126;0.004739336492890996;0.00398406374501992;0.0014285714285714286;0.0022172949002217295;0.001392757660167131;0.001451378809869376;0.31465226581353317;0.24234804870980928;1.1260334446223215;0.9345942199857977;0.5297813949487182;0.8912081078872304
CC3- 15;0.0005512679162072767;0.0006116207951070336;0.0006285355122564425;0.000655307994757536;0.0005938242280285036;0.0005205622071837585;0.0005045408678102926;0.0005730659025787965;0.0005991611743559018;0.009345794392523364;0.005494505494505495;0.0031545741324921135;0.004329004329004329;0.004291845493562232;0.004273504273504274;0.30405564463567925;0.2748598068136026;1.9127057021811766;1.909972059515666;1.2912909301943025;1.532538799435043
CC3-16;0.0005192107995846313;0.0008038585209003215;0.0009132420091324201;0.0008169934640522876;0.0005678591709256105;0.0005733944954128441;0.0007027406886858749;0.000708215297450425;0.0005141388174807198;0.005434782608695652;0.003367003367003367;0.0018726591760299626;0.0021645021645021645;0.0015082956259426848;0.0014970059880239522;0.3621163964595271;0.3017700098614495;1.2051698168042146;1.0723563096958795;0.5959958778402931;0.8553720281032194
GOOGLE;0.000700770847932726;0.0007047216349541931;0.0007097232079489;0.0007627765064836003;0.0006353240152477764;0.0006430868167202572;0.0005906674542232723;0.0006978367062107466;0.0007209805335255948;0.005952380952380952;0.00684931506849315;0.002881844380403458;0.003787878787878788;0.0019569471624266144;0.0030211480362537764;0.35133162125671963;0.33533423586125966;1.7031348852952009;1.2997597564858527;0.9216244127857219;1.5118955105320062
